"","glycan","Term","Df","Df.res","F.value","Pr","p_adj","sign"
"1","Agalactosylation","HC",3,16,70.0546448087432,2.02774854152496e-09,6.95228071379987e-09,"sign"
"2","Agalactosylation","LC",1,16,15.9264705882353,0.0010521865645689,0.00252524775496536,"sign"
"3","Agalactosylation","HC:LC",3,16,4.32110091743119,0.0206286065550342,0.0380835813323708,"sign"
"4","Galactosylation","HC",3,16,86.3999999999999,4.24419671963601e-10,2.95452507244797e-09,"sign"
"5","Galactosylation","LC",1,16,14.1025641025641,0.00172817712730841,0.0037705682777638,"sign"
"6","Galactosylation","HC:LC",3,16,2.59988073941563,0.0880867450466529,0.132130117569979,"no"
"7","Sialylation","HC",3,16,84.7058823529412,4.92420845407992e-10,2.95452507244797e-09,"sign"
"8","Sialylation","LC",1,16,0.43584784010316,0.518525383746386,0.518525383746386,"no"
"9","Sialylation","HC:LC",3,16,0.891966759002771,0.466554148862736,0.508968162395712,"no"
"10","Bisection","HC",3,16,73.0484330484331,1.48684803540985e-09,5.94739214163939e-09,"sign"
"11","Bisection","LC",1,16,2.02922755741127,0.173511693413547,0.219172665364481,"no"
"12","Bisection","HC:LC",3,16,0.936580416032471,0.445977507182721,0.508968162395712,"no"
"13","High Mannose","HC",3,16,75.6342182890855,1.14800840118786e-09,5.51044032570171e-09,"sign"
"14","High Mannose","LC",1,16,27.4350649350649,8.12688124646205e-05,0.000216716833238988,"sign"
"15","High Mannose","HC:LC",3,16,6.63133426313343,0.00404100409297745,0.0080820081859549,"sign"
"16","Antennary fucosylation","HC",3,16,155.519999999999,4.80396850325146e-12,1.15295244078035e-10,"sign"
"17","Antennary fucosylation","LC",1,16,3.92,0.0651822449806351,0.104291591969016,"no"
"18","Antennary fucosylation","HC:LC",3,16,2.21788040260509,0.125610961136896,0.167481281515862,"no"
"19","Monoantennary","HC",3,16,37.5825545171339,1.79128005974003e-07,5.3738401792201e-07,"sign"
"20","Monoantennary","LC",1,16,2.86233403214535,0.110056245680588,0.155373523313772,"no"
"21","Monoantennary","HC:LC",3,16,0.847016599371917,0.488201714177548,0.509427875663529,"no"
"22","Hybrid","HC",3,16,84.7058823529411,4.92420845407996e-10,2.95452507244797e-09,"sign"
"23","Hybrid","LC",1,16,4.11418975650714,0.0595100492226705,0.102017227238864,"no"
"24","Hybrid","HC:LC",3,16,1.77047184170472,0.193260392648725,0.23191247117847,"no"
